sentence_1,sentence_2,label
What are the living conditions in Cuba ?,What is the difference between a bottle and a jar ?,1
What Kenyan city is the safari center for East Africa ?,About how many soldiers died in World War II ?,0
When was Ozzy Osbourne born ?,How many bends are there in a standard paper clip ?,1
What does the number `` 5 '' stand for on FUBU clothing ?,What is the abbreviation for Original Equipment Manufacturer ?,1
How many cities are there in Utah ?,What year did the United States pass the Copyright law ?,1
What is the longest English word ?,What is a camel hair brush actually made out of ?,1
What does NN O `` mean when used as a prefix in Irish surnames ?,CNN is the abbreviation for what ?,1
What does the `` c '' stand for in the equation E=mc2 ?,Where can I read about Chiang Kai-shek ?,0
What animal migrates the farthest ?,Where did Luther display his `` Ninety-Five Theses '' ?,0
What sport was the first televised in the U.S. ?,What are three ways in which wind is created on the earth ?,1
What university football team did O.J. Simpson take to the Rose Bowl ?,What costume designer decided that Michael Jackson should only wear one glove ?,1
What is a golf ball made of ?,When was the Big Thompson flood ?,0
How many languages are there in the world ?,How many bends are there in a standard paper clip ?,1
What was the name of Randy Craft 's lawyer ?,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",0
What costume designer decided that Michael Jackson should only wear one glove ?,How many fiddlers did Old King Cole have ?,0
What excuse did the NATO people give for hitting the Chinese embassy ?,Aspartame is known by what other name ?,0
The major league baseball team in Pittsburgh is called what ?,What is the name of Joan Jett 's band ?,1
Who told all in Ball Four ?,Who founded the Unification Church ?,1
What is the abbreviated expression for the National Bureau of Investigation ?,How successful is arometherapy ?,0
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",What are the five most expensive cities in the world ?,0
What is a geoscientist ?,How much did the minimum wage amount to in 1991 ?,0
What does the `` c '' stand for in the equation E=mc2 ?,Who bestowed great power upon Captain Britain ?,0
Who created Maudie Frickett ?,Who discovered imaginary numbers ?,1
What was the first town to be chartered in Vermont ?,What Tokyo street glitters with famed department stores and nightclubs ?,1
Where was Lincoln assassinated ?,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,1
Where is Webster University ?,Where did Luther display his `` Ninety-Five Theses '' ?,1
What country was Erich Honecker the leader of ?,Where do the adventures of `` The Swiss Family Robinson '' take place ?,1
"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",Who wrote The Night of the Iguana ?,1
What is a Guild ?,Where can I read about Chiang Kai-shek ?,0
What does S.O.S. stand for ?,What does an average daycare provider get paid in New England ?,0
What do you call a Poker hand with five cards of the same suit ?,What is the fastest-growing comic strip of all time ?,1
What does NN O `` mean when used as a prefix in Irish surnames ?,What made the short-lived Star Hawks strip so unique ?,0
The major league baseball team in Pittsburgh is called what ?,What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?,1
In what book can I find the story of Aladdin ?,What Leon Uris novel dealt with the Russian capture of Berlin ?,1
What concerts are held in New York this week ?,What kind of meat is Fray Bentos synonymous with ?,1
What is the full form of .com ?,How many people visit the Pope each month ?,0
What is Mikhail Gorbachev 's middle initial ?,What is a fear of strong light ?,0
Why do men snore ?,What kind of tree graces Lebanon 's flag ?,0
What is the longest English word ?,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",1
What does CPR stand for ?,What is the zodiac sign for August 14 ?,0
What does SIDS stand for ?,What does the channel ESPN stand for ?,1
What do you call a Poker hand with five cards of the same suit ?,What is a camel hair brush actually made out of ?,1
What Leon Uris novel dealt with the Russian capture of Berlin ?,Who created Maudie Frickett ?,0
Who created Maudie Frickett ?,What was the first town to be chartered in Vermont ?,0
What concerts are held in New York this week ?,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,1
Who bestowed great power upon Captain Britain ?,"What populous state covers 49 , 576 square miles ?",0
What Kenyan city is the safari center for East Africa ?,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,1
How does the chain of command work inside an US army Apache helicopter ?,What is the Hub of London ?,1
What concerts are held in New York this week ?,Where can I find the history of the Hungarian language ?,0
What does the `` c '' stand for in the equation E=mc2 ?,What does CPR stand for ?,1
What does EKG stand for ?,Where is Glasgow ?,0
Who 's the only U.S. president to have won a Pulitzer Prize ?,What was the name of Randy Craft 's lawyer ?,1
What kind of animal was Winnie the Pooh ?,What kind of tree graces Lebanon 's flag ?,1
